ProjectID,RequirementText,Function,Data,Behavior
11,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',1,0,1
8,Only registered customers can purchase streaming movies.,1,0,1
6,The product shall have the ability to send meeting reminders to employees.,1,0,0
12,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,1,0,0
9,The leads washing functionality will insert all leads captured by the web service.,1,0,1
9,For leads that process longer than 25 seconds the system will record the event and duration,0,0,1
14,Users shall be able to view at least 25 NFL player statistics and points on each page.,1,1,0
10,When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,0,0,1
3,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.,0,0,1
10,For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,0,0,1
9,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,1,1,1
4,The Disputes System must provide the ability to view existing dispute cases.,1,0,0
4,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1,0,0
5,The user shall enter new ratings based on the audit report,1,0,0
11,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',1,0,1
4,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,0,1,0
10,At the start of each turn the product shall notify each player of his or her status.,0,0,1
8,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,1,0,1
6,The product will display an available status for unreserved conference rooms.,1,0,0
3,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,1,0,0
4,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,1,0,0
3,The system shall protect private information in accordance with the organization's information policy.,1,0,0
6,The product shall allow an organizer to invite other employees to meetings.,1,0,0
7,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,1,0,0
4,The Disputes System shall provide update access capability for authorized users of the application.,1,0,0
9,The leads washing functionality will verify the users authentication and rights to make parameter updates.,1,0,0
4,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,1,0,0
10,The product shall prevent the player from overlapping ships on their grid.,0,0,1
10,When a game is ended the product shall notify the players that the game is ended.,0,0,1
7,Product formula ingredients shall allow defining substitutionary ingredients.,1,1,0
1,The top 1/4 of the table will hold events that are to occur sequentially.,0,1,0
12,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),1,1,0
3,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1,1,0
8,The website will provide a help section with answers and solutions to common problems.,0,1,0
8,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,1,0,0
6,The product shall update existing conference rooms.,1,0,0
10,If the shot was marked as a hit the product shall allow the offensive player to define a shot.,0,0,1
8,Website shall request and authorize credit card payment before allowing a user to stream a movie.,0,0,1
4,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,1,1,0
10,The product shall remove players who have been inactive for 24 hours from the list of players.,0,0,1
6,The product shall record different meeting types.,1,1,0
5,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1,0,0
3,Students added to a cohort shall be eligible for the cohort's Program of Study.,0,0,1
2,The system shall update or create new property listings in the MLS,1,0,0
6,The product shall display a map of the company building showing conference room locations.,1,0,0
8,System will allow customers to pay for a streaming movie with a pre-paid card.,1,0,0
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,1,1,0
5,The user shall select to save the preferred repair facility ratings.,1,0,0
5,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,1,0,0
6,The product shall allow the user to select a chosen language from one of the target market countries.,1,0,0
